,msg Standort_x,Straße_x,Hausnummer_x,PLZ_x,Ort_x,latitude_x,longitude_x,Location_x,color_x,Key_x,key,msg Standort_y,Straße_y,Hausnummer_y,PLZ_y,Ort_y,latitude_y,longitude_y,Location_y,color_y,Key_y,Distance_fly,Distance_car,Duration_car
0,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Berlin,Wittestraße,30,13509,Berlin,52.580911,13.293884,"Berlin, Wittestraße 30, 13509, Berlin",blue,2,497.2616988342782,575,299
1,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Braunschweig,Mittelweg,7,38106,Braunschweig,52.278748,10.524797,"Braunschweig, Mittelweg 7, 38106, Braunschweig",blue,3,457.9418461281106,596,301
2,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Bretten,Edisonstraße,2,75015,Bretten,49.032767,8.698372,"Bretten, Edisonstraße 2, 75015, Bretten",blue,4,237.1153722496648,280,164
3,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Chemnitz,Zwickauer Straße,16a,9122,Chemnitz,50.829383,12.914736999999999,"Chemnitz, Zwickauer Straße 16a, 9122, Chemnitz",blue,5,302.5190429671971,376,195
4,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Düsseldorf,Gladbecker Straße,3,40472,Düsseldorf,51.274774,6.794911999999999,"Düsseldorf, Gladbecker Straße 3, 40472, Düsseldorf",blue,6,487.9911457292048,608,313
5,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Essen,Am Thyssenhaus,1.3,45128,Essen,51.450577,7.008871000000001,"Essen, Am Thyssenhaus 1.3, 45128, Essen",blue,7,490.70116784916456,626,322
6,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Frankfurt,Mergenthalerallee,73-75,65760,Eschborn,50.136479,8.570963,"Frankfurt, Mergenthalerallee 73-75, 65760, Eschborn",blue,8,310.2914350048597,395,199
7,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Görlitz,Melanchthonstraße,19,2826,Görlitz,51.145511,14.970028,"Görlitz, Melanchthonstraße 19, 2826, Görlitz",blue,9,401.2564048027948,552,284
8,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Hamburg,Dammtorwall,7a,20354,Hamburg,53.557577,9.986065,"Hamburg, Dammtorwall 7a, 20354, Hamburg",blue,10,604.5284348590696,782,404
9,Ismaning/München (Hauptsitz),Robert-Bürkle-Straße,1,85737,Ismaning,48.229034999999996,11.686153,"Ismaning/München (Hauptsitz), Robert-Bürkle-Straße 1, 85737, Ismaning",green,1,0,Hannover,Hildesheimerstraße,265-267,30519,Hannover,52.337987,9.769706,"Hannover, Hildesheimerstraße 265-267, 30519, Hannover",blue,11,476.8580558717781,648,328
